Summary_file = output\dingxi_w.sum
Title = Continuous spring wheat at Dingxi
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()             ()             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       304      1973     31/10/1973          0.000          0.000         30.800          0.000              0.204              0.217              0.218              0.206              0.162              0.149              0.161              0.169         28.038          0.000          0.000        361.440          2.021        224.935             20.674             40.745             51.334             64.168             25.564              8.645              6.907              6.898          0.000       9398.727        333.726         61.509          0.304         19.628          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         54.342
       334      1973     30/11/1973          0.000          0.000          3.900          0.000              0.164              0.191              0.202              0.198              0.174              0.153              0.161              0.169         13.539          0.000          0.000        351.801          2.075        226.931             26.400             36.766             47.874             62.424             30.185              9.417              6.946              6.920          0.000       9397.704        332.558         58.963          0.304         19.628          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         38.641
       365      1973     31/12/1973          0.000          0.000          0.000          0.000              0.134              0.176              0.191              0.191              0.179              0.159              0.161              0.168          7.273          0.000          0.000        344.528          2.082        227.289             30.491             34.189             45.349             60.421             32.409             10.494              7.002              6.932          0.000       9397.674        332.523         58.893          0.304         19.628          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         16.910
        31      1974     31/01/1974          0.000          0.000          7.500          0.000              0.144              0.170              0.184              0.186              0.179              0.164              0.162              0.168          8.687          0.000          0.000        343.341          2.086        227.380             32.494             33.378             43.696             58.914             33.331             11.526              7.097              6.945          0.000       9397.674        332.522         58.891          0.304         19.628          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         13.089
        59      1974     28/02/1974          0.000          1.000          7.700          0.000              0.133              0.166              0.180              0.183              0.178              0.167              0.164              0.168         10.228          0.000          0.000        340.813          2.002        227.726             33.944             32.897             42.744             57.927             33.728             12.304              7.215              6.965          0.000       9397.548        332.377         58.592          0.304         19.622          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         34.938
        90      1974     31/03/1974          0.000          0.000         16.000          0.000              0.147              0.166              0.176              0.180              0.177              0.169              0.166              0.169         15.286          0.000          0.000        341.527         17.720        242.916             48.727             33.636             42.099             57.126             33.978             12.987              7.366              6.997          0.000       9396.682        331.511         57.281          0.256         16.522          0.000          0.000          0.000          0.000        119.690          0.000         0          1.000          0.968         70.969
       120      1974     30/04/1974          0.000          0.000          9.200         12.781              0.091              0.127              0.157              0.177              0.176              0.171              0.167              0.170         13.759          0.000          0.000        324.187        124.151        221.301             45.337             23.704             33.495             56.529             34.156             13.515              7.522              7.043          0.000       9395.833        330.510         59.901          0.256         16.522          0.741          0.000        766.715         52.897        452.520          2.707         0          1.000          0.735        131.775
       151      1974     31/05/1974          0.000          0.000         35.300         30.548              0.119              0.128              0.133              0.143              0.169              0.171              0.168              0.171         18.394          0.000          0.000        310.545         11.687        311.451            120.454             42.225             33.834             52.719             33.550             13.893              7.679              7.097          0.000       9392.713        328.167         59.511          0.150          9.680          1.011          0.000       2494.047         94.218        946.260          4.236         0          1.000          0.713        146.859
       181      1974     30/06/1974          0.000          0.000         19.900         28.042              0.093              0.120              0.130              0.120              0.133              0.157              0.168              0.171         17.987          0.000          0.000        284.416          1.317        305.099            122.672             46.726             33.674             46.314             28.623             12.341              7.595              7.154          0.000       9390.711        326.621         65.564          0.095          6.159          0.481        428.044       3849.247         96.375       1467.881          5.854         0          1.000          0.758        166.937
       209      1974     28/07/1974          2.000          0.000         48.200         17.852              0.146              0.124              0.130              0.114              0.122              0.143              0.162              0.171         35.653          0.000          0.000        279.111          0.509        284.635             93.672             56.733             33.674             45.592             28.154             12.147              7.493              7.170          0.000       9386.038        323.190         60.011          0.025          1.601          0.002       1614.030       4581.808         84.176       1618.195          8.138       207          1.000          0.801        156.826
       212      1974     31/07/1974          0.000          0.000         16.300          0.000              0.197              0.135              0.130              0.114              0.122              0.143              0.162              0.171          9.024          0.000          0.000        286.387          0.493        284.969             86.129             64.567             33.685             45.611             28.166             12.152              7.490              7.169          0.000       9385.649        329.050        115.505          1.593        117.634          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         20.190
       243      1974     31/08/1974          0.000          0.000         54.500          0.000              0.153              0.159              0.131              0.115              0.123              0.144              0.161              0.171         53.649          0.000          0.000        287.238          0.766        288.606             70.131             83.016             34.394             45.979             28.263             12.185              7.476              7.164          0.000       9379.623        337.251         73.375          0.697         51.453          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        171.618
       273      1974     30/09/1974          0.000          0.000         82.200          0.000              0.216              0.209              0.206              0.127              0.124              0.144              0.160              0.170         45.845          1.457          0.000        322.136          1.596        293.679             41.561             79.113             65.949             51.745             28.430             12.221              7.486              7.174          0.052       9373.857        333.356         56.115          0.440         32.503          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         87.975
       304      1974     31/10/1974          0.000          0.000         44.100          0.000              0.205              0.220              0.212              0.151              0.127              0.144              0.160              0.169         34.088          0.000          0.000        332.148          1.798        296.980             33.734             73.945             69.478             63.734             29.150             12.251              7.499              7.188          0.003       9371.213        330.716         50.563          0.359         26.477          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         60.350
