APSIM output file, version = 5.4
Title = soybean P Sample Simulation
            day           year            lai        biomass  green_biomass       dm_green        p_green     p_senesced       p_demand    pfact_photo    pfact_pheno pfact_expansion    pfact_grain      biomass_p green_biomass_p        grain_p         leaf_p         stem_p         root_p          pod_p         head_p    dlt_p_green dlt_p_retrans() dlt_p_detached    dlt_p_sen()  p_conc_stover LeafGreenpconc StemGreenpconc grainGreenpconc p_uptake_stover grain_p_demand    surfaceom_p
          (day)         (year)      (m^2/m^2)        (kg/ha)        (kg/ha)         (g/m2)         (g/m2)         (g/m2)        (g/m^2)             ()             ()              ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)            (?)            (%)            (%)            (%)             (%)             (%)        (g/m^2)        (kg/ha)
             35           1989          2.240         1947.5         1792.3        291.834          0.497          0.025           0.25          0.339          1.000           0.677          1.000           0.40            0.37           0.00           0.17           0.19           0.12           0.02           0.02           0.01            0.00           0.00              ?          0.209          0.267          0.211           0.000           0.374           0.00            0.0
             36           1989          2.211         1960.2         1793.3        291.788          0.502          0.027           0.25          0.358          1.000           0.717          1.000           0.40            0.38           0.00           0.17           0.19           0.12           0.02           0.02           0.01            0.00           0.00              ?          0.211          0.271          0.213           0.000           0.378           0.00            0.0
             37           1989          2.198         1994.2         1813.9        294.405          0.509          0.029           0.25          0.380          1.000           0.759          1.000           0.41            0.38           0.00           0.17           0.19           0.13           0.02           0.02           0.01            0.00           0.00              ?          0.212          0.273          0.214           0.000           0.384           0.00            0.0
             38           1989          2.190         2036.8         1841.9        298.033          0.516          0.031           0.25          0.393          1.000           0.786          1.000           0.42            0.39           0.00           0.17           0.20           0.13           0.02           0.02           0.01            0.00           0.00              ?          0.212          0.273          0.213           0.000           0.390           0.00            0.0
             39           1989          2.129         2081.1         1868.8        300.630          0.522          0.034           0.25          0.401          1.000           0.803          1.000           0.43            0.39           0.00           0.17           0.20           0.13           0.03           0.03           0.01            0.00           0.00              ?          0.214          0.281          0.214           0.000           0.394           0.00            0.0
             40           1989          2.065         2129.2         1898.9        303.579          0.527          0.037           0.24          0.407          1.000           0.814          1.000           0.43            0.40           0.01           0.16           0.20           0.13           0.03           0.04           0.01            0.00           0.00              ?          0.212          0.281          0.211           0.139           0.392           0.00            0.0
             41           1989          2.005         2179.5         1932.1        306.858          0.532          0.040           0.25          0.405          1.000           0.810          1.000           0.44            0.40           0.01           0.16           0.20           0.13           0.03           0.04           0.01           -0.00           0.00              ?          0.209          0.281          0.208           0.181           0.389           0.00            0.0
             42           1989          1.935         2213.2         1946.1        308.084          0.536          0.043           0.24          0.399          1.000           0.798          1.000           0.45            0.41           0.02           0.15           0.20           0.13           0.03           0.05           0.01           -0.00           0.00              ?          0.209          0.281          0.208           0.205           0.386           0.00            0.0
             43           1989          1.870         2244.7         1959.3        309.203          0.540          0.045           0.24          0.411          1.000           0.823          1.000           0.45            0.41           0.03           0.15           0.20           0.13           0.03           0.06           0.01           -0.00           0.00              ?          0.208          0.280          0.209           0.218           0.382           0.00            0.0
             44           1989          1.809         2289.4         1986.5        311.851          0.544          0.048           0.24          0.425          1.000           0.849          1.000           0.46            0.41           0.03           0.14           0.20           0.13           0.04           0.07           0.01            0.00           0.00              ?          0.206          0.280          0.207           0.225           0.378           0.00            0.0
             45           1989          1.749         2335.5         2015.6        314.698          0.548          0.051           0.24          0.423          1.000           0.846          1.000           0.47            0.42           0.04           0.14           0.20           0.13           0.04           0.08           0.01            0.00           0.00              ?          0.204          0.278          0.205           0.232           0.374           0.00            0.0
             46           1989          1.688         2379.3         2042.3        317.301          0.551          0.053           0.24          0.419          1.000           0.839          1.000           0.47            0.42           0.05           0.13           0.20           0.13           0.04           0.09           0.01           -0.00           0.00              ?          0.201          0.276          0.203           0.236           0.369           0.00            0.0
             47           1989          1.628         2421.2         2067.1        319.692          0.554          0.056           0.24          0.417          1.000           0.835          1.000           0.48            0.42           0.06           0.13           0.20           0.13           0.04           0.10           0.01            0.00           0.00              ?          0.199          0.273          0.202           0.240           0.364           0.00            0.0
