Summary_file = g2_00_w0.sum
Title = Ghab2_W0_9900
      year       day       DAS tt_since_emerg          stage            lai     biomass_wt       grain_wt        leaf_wt        stem_wt      biomass_n        grain_n         leaf_n         stem_n            cep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)    n_conc_leaf    n_conc_stem   n_conc_grain
    (year)     (day)    (days)             ()             ()      (m^2/m^2)         (g/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)            (%)            (%)            (%)
      2000        35        45         45.784          3.063          0.007         10.066          0.000         10.026          0.040          0.602          0.000          0.600          0.002         -0.013              0.237              0.253              0.257              0.221              0.238              0.260              0.275              0.288              0.296              0.301              4.374              6.307              7.040              6.299              5.416              5.542              1.706              2.323              1.705              0.284              0.021              0.011          5.984          4.975          0.000
      2000        36        46         51.534          3.071          0.007         10.071          0.000         10.029          0.043          0.602          0.000          0.600          0.002         -0.014              0.271              0.263              0.258              0.223              0.238              0.260              0.275              0.288              0.296              0.301              4.273              6.547              7.156              6.365              5.419              5.540              1.637              2.233              1.618              0.267              0.020              0.010          5.983          5.260          0.000
      2000        37        47         58.534          3.081          0.007         10.080          0.000         10.032          0.048          0.603          0.000          0.600          0.003         -0.014              0.264              0.263              0.258              0.225              0.238              0.260              0.275              0.288              0.296              0.301              4.321              6.636              7.251              6.429              5.423              5.539              1.578              2.154              1.542              0.253              0.019              0.010          5.981          5.314          0.000
      2000        38        48         63.608          3.088          0.007         10.090          0.000          9.551          0.054          0.603          0.000          0.571          0.010         -0.016              0.252              0.259              0.258              0.227              0.238              0.260              0.275              0.288              0.296              0.301              4.465              6.648              7.311              6.489              5.427              5.538              1.525              2.084              1.474              0.239              0.018              0.009          5.979         18.843          0.000
      2000        39        49         69.045          3.096          0.007         10.101          0.000          9.555          0.061          0.603          0.000          0.571          0.010         -0.019              0.243              0.256              0.257              0.228              0.238              0.260              0.275              0.288              0.296              0.301              4.619              6.658              7.352              6.545              5.431              5.537              1.476              2.020              1.412              0.227              0.017              0.008          5.976         16.751          0.000
      2000        40        50         74.711          3.104          0.007         10.112          0.000          9.099          0.067          0.603          0.000          0.544          0.017         -0.021              0.239              0.253              0.255              0.230              0.238              0.260              0.275              0.288              0.296              0.301              4.762              6.681              7.384              6.596              5.435              5.535              1.428              1.959              1.353              0.216              0.016              0.008          5.974         25.320          0.000
      2000        41        51         81.206          3.113          0.007         10.127          0.000          9.105          0.076          0.603          0.000          0.544          0.017         -0.025              0.236              0.251              0.254              0.231              0.238              0.260              0.275              0.288              0.296              0.301              4.906              6.720              7.417              6.644              5.440              5.534              1.377              1.895              1.292              0.205              0.016              0.007          5.971         22.425          0.000
      2000        42        52         88.356          3.123          0.008         10.144          0.000          9.112          0.087          0.603          0.000          0.544          0.017         -0.029              0.233              0.249              0.252              0.232              0.239              0.260              0.275              0.288              0.296              0.301              5.052              6.773              7.455              6.689              5.444              5.533              1.321              1.826              1.228              0.194              0.015              0.007          5.968         19.725          0.000
      2000        43        53         96.184          3.135          0.008         10.165          0.000          9.121          0.099          0.603          0.000          0.544          0.017         -0.034              0.230              0.247              0.251              0.233              0.239              0.260              0.275              0.288              0.296              0.300              5.200              6.838              7.497              6.731              5.449              5.532              1.262              1.754              1.163              0.182              0.014              0.006          5.964         17.223          0.000
      2000        44        54        105.134          3.147          0.009         10.185          0.000          9.129          0.111          0.603          0.000          0.544          0.017         -0.038              0.228              0.245              0.250              0.234              0.239              0.260              0.275              0.288              0.296              0.300              5.350              6.910              7.541              6.770              5.454              5.531              1.200              1.680              1.098              0.171              0.013              0.006          5.960         15.350          0.000
      2000        45        55        113.284          3.159          0.009         10.207          0.000          9.137          0.124          0.604          0.000          0.544          0.017         -0.044              0.250              0.247              0.249              0.235              0.239              0.260              0.275              0.288              0.296              0.300              5.397              7.065              7.599              6.807              5.459              5.530              1.145              1.608              1.034              0.161              0.012              0.005          5.956         13.761          0.000
      2000        46        56        120.134          3.169          0.009         10.212          0.000          9.139          0.127          0.604          0.000          0.544          0.017         -0.044              0.274              0.263              0.252              0.236              0.239              0.260              0.275              0.288              0.295              0.300              5.096              7.398              7.755              6.848              5.464              5.528              1.097              1.546              0.979              0.151              0.012              0.005          5.955         13.398          0.000
      2000        47        57        127.134          3.179          0.010         10.219          0.000          9.142          0.131          0.604          0.000          0.544          0.017         -0.045              0.283              0.273              0.258              0.237              0.240              0.260              0.275              0.288              0.295              0.300              4.858              7.535              7.996              6.901              5.469              5.527              1.057              1.495              0.934              0.144              0.011              0.004          5.953         12.982          0.000
      2000        48        58        135.584          3.191          0.010         10.248          0.000          9.154          0.149          0.604          0.000          0.544          0.017         -0.051              0.268              0.268              0.261              0.239              0.240              0.260              0.275              0.288              0.295              0.300              4.961              7.478              8.105              6.957              5.475              5.526              1.022              1.448              0.893              0.137              0.011              0.004          5.948         11.468          0.000
      2000        49        59        142.634          3.201          0.011         10.267          0.000          9.161          0.160          0.604          0.000          0.545          0.017         -0.055              0.259              0.264              0.261              0.240              0.240              0.260              0.275              0.288              0.295              0.300              5.091              7.444              8.154              7.010              5.481              5.525              0.990              1.406              0.857              0.131              0.010              0.004          5.944         10.669          0.000
