APSIM output file, version = 5.3
Title = stock lablab SAMPLE Simulation
           Date           rain        paddock         number            sex            age         weight     cond_score         intake      wt_change      trampling
            (?)            (?)            (?)            (?)            (?)            (d)           (kg)            (-)            (?)         (kg/d)        (kg/ha)
     23/03/1989          0.000          0.000              8          steer        484.000        152.138         -0.406          0.904         -0.837          0.000
     24/03/1989          0.000          0.000              7          steer        485.000        153.194         -0.386          0.901         -0.846          0.000
     25/03/1989          5.000          0.000              7          steer        486.000        152.411         -0.405          1.024         -0.783          0.000
     26/03/1989         45.000          0.000              7          steer        487.000        151.640         -0.424          1.039         -0.771          0.000
     27/03/1989         28.000          0.000              6          steer        488.000        153.016         -0.396          1.016         -0.790          0.000
     28/03/1989          1.200          0.000              5          steer        489.000        154.770         -0.360          1.025         -0.797          0.000
     29/03/1989          0.000          0.000              5          steer        490.000        154.005         -0.379          1.084         -0.765          0.000
     30/03/1989          0.000          0.000              5          steer        491.000        153.270         -0.397          1.139         -0.735          0.000
     31/03/1989          0.000          0.000              4          steer        492.000        155.596         -0.349          1.158         -0.740          0.000
     01/04/1989          0.000          0.000              4          steer        493.000        154.873         -0.367          1.186         -0.723          0.000
     02/04/1989          2.600          0.000              3          steer        494.000        158.016         -0.302          1.215         -0.729          0.000
     03/04/1989          3.200          0.000              3          steer        495.000        157.287         -0.319          1.207         -0.728          0.000
     04/04/1989          0.400          0.000              3          steer        496.000        156.566         -0.336          1.212         -0.721          0.000
     05/04/1989          0.400          0.000              3          steer        497.000        155.872         -0.353          1.263         -0.694          0.000
     06/04/1989          0.200          0.000              2          steer        498.000        160.394         -0.260          1.368         -0.674          0.000
     07/04/1989          0.000          0.000              2          steer        499.000        159.795         -0.276          1.521         -0.599          0.000
     08/04/1989          0.000          0.000              2          steer        500.000        159.277         -0.290          1.691         -0.518          0.000
     09/04/1989          0.000          0.000              2          steer        501.000        158.867         -0.303          1.921         -0.410          0.000
     10/04/1989          0.000          0.000              2          steer        502.000        158.586         -0.313          2.202         -0.281          0.000
     11/04/1989          0.300          0.000              2          steer        503.000        158.444         -0.321          2.506         -0.142          0.000
     12/04/1989          3.400          0.000              2          steer        504.000        158.386         -0.326          2.694         -0.057          0.000
     13/04/1989          0.000          0.000              2          steer        505.000        158.425         -0.329          3.011          0.038          0.000
     14/04/1989          0.000          0.000              2          steer        506.000        158.539         -0.330          3.389          0.115          0.000
     15/04/1989          0.000          0.000              2          steer        507.000        158.757         -0.329          3.899          0.218          0.000
     16/04/1989          0.000          0.000              2          steer        508.000        159.082         -0.326          4.429          0.325          0.000
     17/04/1989          0.000          0.000              2          steer        509.000        159.520         -0.321          4.987          0.438          0.000
     18/04/1989          0.000          0.000              2          steer        510.000        160.083         -0.314          5.597          0.563          0.000
     19/04/1989          0.000          0.000              2          steer        511.000        160.767         -0.303          6.173          0.684          0.000
     20/04/1989          0.000          0.000              2          steer        512.000        161.562         -0.291          6.692          0.795          0.000
     21/04/1989          0.000          0.000              2          steer        513.000        162.461         -0.276          7.164          0.899          0.000
     22/04/1989          0.400          0.000              2          steer        514.000        163.452         -0.259          7.563          0.991          0.000
     23/04/1989          0.000          0.000              2          steer        515.000        164.511         -0.240          7.848          1.059          0.000
     24/04/1989         26.000          0.000              2          steer        516.000        165.585         -0.219          7.914          1.073          0.000
     25/04/1989          3.100          0.000              2          steer        517.000        166.668         -0.198          7.964          1.084          0.000
     26/04/1989         60.600          0.000              2          steer        518.000        167.765         -0.178          8.022          1.097          0.000
     27/04/1989          2.400          0.000              2          steer        519.000        168.903         -0.156          8.177          1.138          0.000
     28/04/1989          0.400          0.000              2          steer        520.000        170.078         -0.134          8.313          1.175          0.000
     29/04/1989          0.000          0.000              2          steer        521.000        171.287         -0.111          8.437          1.210          0.000
     30/04/1989          0.000          0.000              2          steer        522.000        172.521         -0.088          8.520          1.234          0.000
     01/05/1989          0.000          0.000              2          steer        523.000        173.772         -0.064          8.581          1.251          0.000
     02/05/1989          0.000          0.000              2          steer        524.000        175.035         -0.040          8.629          1.264          0.000
     03/05/1989          0.000          0.000              2          steer        525.000        176.310         -0.015          8.670          1.274          0.000
     04/05/1989          0.000          0.000              2          steer        526.000        177.590          0.010          8.698          1.281          0.000
     05/05/1989          0.000          0.000              2          steer        527.000        178.880          0.035          8.732          1.289          0.000
     06/05/1989          0.000          0.000              2          steer        528.000        180.179          0.060          8.768          1.299          0.000
     07/05/1989          3.600          0.000              2          steer        529.000        181.484          0.085          8.792          1.305          0.000
     08/05/1989         18.400          0.000              2          steer        530.000        182.790          0.110          8.801          1.306          0.000
     09/05/1989          1.000          0.000              2          steer        531.000        184.098          0.135          8.815          1.309          0.000
     10/05/1989          0.000          0.000              2          steer        532.000        185.413          0.161          8.836          1.315          0.000
