Summary_file = output\dingxi_w.sum
Title = Continuous spring wheat at Dingxi
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()             ()             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       217      1973     05/08/1973          2.000          0.000          0.000          2.298              0.117              0.130              0.130              0.115              0.124              0.145              0.163              0.171          8.039          0.000          0.000        279.561          0.507        257.691             56.300             92.112             34.817             34.006             17.048              9.196              7.323              6.889          0.000       9407.588        310.039         55.453          0.061          4.583          0.002       1403.429       3396.348         48.969       1412.850          6.537       215          1.000          1.000         27.396
       243      1973     31/08/1973          0.000          0.000        160.700          0.000              0.270              0.275              0.273              0.153              0.125              0.146              0.162              0.171         54.615         21.855          0.000        363.790          1.387        260.624             13.813             72.556             82.184             51.435             17.182              9.241              7.315              6.898          0.231       9404.771        322.157         87.890          0.483         32.841          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        134.313
       273      1973     30/09/1973          0.000          0.000         42.100          0.000              0.213              0.222              0.222              0.209              0.141              0.147              0.162              0.170         45.877          1.367          0.000        358.646          1.865        268.122             25.985             52.654             65.095             78.022             22.775              9.326              7.337              6.928          0.034       9398.310        319.696         62.304          0.310         21.081          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         99.607
       304      1973     31/10/1973          0.000          0.000         30.800          0.000              0.204              0.217              0.218              0.206              0.161              0.149              0.161              0.170         28.039          0.000          0.000        361.408          2.005        271.800             25.255             50.174             63.063             78.530             30.798              9.669              7.361              6.952          0.000       9395.762        317.710         55.833          0.247         16.826          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         54.342
       334      1973     30/11/1973          0.000          0.000          3.900          0.000              0.164              0.191              0.202              0.198              0.174              0.154              0.161              0.169         13.537          0.000          0.000        351.771          2.056        273.787             32.188             45.111             58.740             76.375             36.451             10.551              7.397              6.973          0.000       9394.704        316.581         53.551          0.247         16.826          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         38.641
       365      1973     31/12/1973          0.000          0.000          0.000          0.000              0.134              0.176              0.191              0.191              0.178              0.159              0.162              0.169          7.273          0.000          0.000        344.498          2.062        274.144             37.195             41.932             55.630             73.910             39.226             11.815              7.452              6.985          0.000       9394.674        316.548         53.488          0.247         16.826          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         16.910
        31      1974     31/01/1974          0.000          0.000          7.500          0.000              0.144              0.170              0.184              0.186              0.179              0.164              0.163              0.169          8.687          0.000          0.000        343.311          2.065        274.236             39.662             40.919             53.597             72.067             40.397             13.045              7.552              6.997          0.000       9394.674        316.547         53.487          0.247         16.826          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         13.089
        59      1974     28/02/1974          0.000          1.000          7.700          0.000              0.133              0.166              0.180              0.183              0.178              0.167              0.164              0.169         10.231          0.000          0.000        340.779          1.982        274.578             41.423             40.296             52.416             70.855             40.906             13.983              7.682              7.017          0.000       9394.547        316.408         53.221          0.247         16.821          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         34.938
        90      1974     31/03/1974          0.000          0.000         16.000          0.000              0.147              0.165              0.176              0.180              0.177              0.169              0.166              0.169         15.285          0.000          0.000        341.494         17.699        289.754             56.294             41.078             51.588             69.858             41.226             14.812              7.848              7.050          0.000       9393.653        315.558         52.024          0.208         14.178          0.000          0.000          0.000          0.000        119.690          0.000         0          1.000          1.000         70.969
       120      1974     30/04/1974          0.000          0.000          9.200         12.786              0.090              0.126              0.157              0.177              0.176              0.171              0.167              0.170         13.759          0.000          0.000        324.150        124.376        269.547             54.588             30.773             43.097             69.071             41.443             15.456              8.023              7.097          0.000       9392.826        314.655         54.764          0.208         14.178          0.672          0.000        760.187         52.429        452.520          2.554         0          1.000          0.678        131.949
       151      1974     31/05/1974          0.000          0.000         35.300         30.720              0.118              0.127              0.133              0.142              0.169              0.171              0.169              0.171         18.534          0.000          0.000        310.195         11.990        362.404            131.194             50.701             43.530             64.969             40.741             15.918              8.199              7.152          0.000       9389.636        312.345         54.791          0.125          8.528          0.766          0.000       2446.441         92.692        946.260          3.835         0          1.000          0.624        147.683
       181      1974     30/06/1974          0.000          0.000         19.900         28.442              0.090              0.120              0.130              0.120              0.132              0.156              0.168              0.172         18.115          0.000          0.000        283.539          1.484        357.318            134.574             55.161             43.338             58.620             35.797             14.464              8.155              7.210          0.000       9387.730        310.996         61.003          0.082          5.550          0.299        416.083       3708.370         94.310       1469.068          5.332         0          1.000          0.694        168.601
       209      1974     28/07/1974          2.000          0.000         48.200         16.999              0.149              0.124              0.130              0.114              0.122              0.143              0.162              0.172         35.477          0.000          0.000        279.262          0.511        335.754            104.552             65.671             43.338             57.590             35.121             14.214              8.042              7.225          0.000       9382.992        307.857         56.038          0.023          1.535          0.002       1492.783       4354.192         82.372       1618.844          7.734       207          1.000          0.797        158.092
       212      1974     31/07/1974          0.000          0.000         16.300          0.000              0.198              0.136              0.130              0.114              0.122              0.143              0.162              0.172          8.972          0.000          0.000        286.591          0.476        336.085             95.097             75.406             43.351             57.616             35.135             14.218              8.038              7.224          0.000       9382.484        313.361        107.782          1.427        114.420          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         20.162
       243      1974     31/08/1974          0.000          0.000         54.500          0.000              0.154              0.161              0.131              0.115              0.123              0.143              0.161              0.171         53.649          0.000          0.000        287.441          0.757        339.630             76.967             95.630             44.226             58.088             35.240             14.244              8.019              7.216          0.000       9376.005        321.101         68.201          0.639         51.256          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        171.618
       273      1974     30/09/1974          0.000          0.000         82.200          0.000              0.216              0.209              0.207              0.127              0.124              0.144              0.160              0.170         45.844          1.499          0.000        322.297          1.563        344.581             45.921             88.935             79.525             65.242             35.436             14.273              8.024              7.225          0.062       9370.017        317.499         52.177          0.409         32.801          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         87.975
       304      1974     31/10/1974          0.000          0.000         44.100          0.000              0.205              0.220              0.213              0.151              0.126              0.144              0.160              0.169         34.087          0.000          0.000        332.310          1.762        347.816             37.379             82.564             82.375             79.592             36.341             14.294              8.033              7.238          0.004       9367.285        315.050         47.019          0.335         26.873          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         60.350
