Summary_file = sugar.sum
Title = Sugar Sample Simulation
           Date             es            eos             eo          drain   infiltration            esw          esw()             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)     residue_wt     irrigation            lai        biomass  green_biomass    swdef_photo    nfact_photo
             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)        (g/m^2)        (g/m^2)             ()             ()
     14/07/1980          0.864          0.864          2.360          0.148         12.000        313.659        313.811             26.203             34.153             36.441             19.089             12.465              9.440              7.995       2709.742          0.000          0.247         36.193         36.193          1.000          1.000
     15/07/1980          0.473          0.473          1.268          0.129          8.000        320.978        321.058             23.723             34.497             37.722             19.107             12.478              9.439              7.991       2626.580          0.000          0.253         37.041         37.041          1.000          1.000
     16/07/1980          0.484          0.484          1.270          0.111          0.000        320.221        320.383             22.464             34.325             38.270             19.127             12.490              9.439              7.988       2543.749          0.000          0.259         37.913         37.913          1.000          1.000
     17/07/1980          0.481          0.481          1.236          0.096          6.000        325.532        325.643             20.289             34.865             38.709             19.190             12.506              9.439              7.985       2459.134          0.000          0.265         38.807         38.807          1.000          1.000
     18/07/1980          1.702          1.702          4.272          0.084          0.000        323.192        323.746             19.242             34.506             39.030             19.263             12.529              9.441              7.984       2389.121          0.000          0.289         42.016         42.016          1.000          1.000
     19/07/1980          1.349          1.349          3.359          0.075          0.000        321.461        321.769             18.374             34.070             39.268             19.344             12.555              9.445              7.983       2314.275          0.000          0.308         44.675         44.675          1.000          1.000
     20/07/1980          1.148          1.601          3.939          0.069          0.000        319.830        320.245             18.054             33.342             39.385             19.415             12.586              9.451              7.983       2246.019          0.000          0.332         47.952         47.952          1.000          1.000
     21/07/1980          1.911          2.127          5.196          0.066          0.000        317.094        317.853             18.550             32.121             39.322             19.448             12.618              9.458              7.984       2186.971          0.000          0.365         52.535         52.535          1.000          1.000
     22/07/1980          1.010          1.386          3.387          0.066          0.000        315.464        316.018             18.574             31.717             39.128             19.451             12.645              9.466              7.986       2134.005          0.000          0.389         55.874         55.874          1.000          1.000
     23/07/1980          0.783          1.652          4.026          0.068          0.000        314.153        314.613             18.598             31.449             38.959             19.424             12.666              9.474              7.988       2090.659          0.000          0.420         60.200         60.200          1.000          1.000
     24/07/1980          0.619          0.619          1.515          0.071          1.000        314.379        314.463             18.351             31.461             38.873             19.408             12.683              9.480              7.991       2043.380          0.000          0.433         61.941         61.941          1.000          1.000
     25/07/1980          0.535          0.535          1.299          0.077         19.609        333.230        333.376             14.614             31.682             40.661             19.666             12.723              9.490              7.995       1954.018          0.000          0.444         63.432         63.432          1.000          1.000
     26/07/1980          1.978          1.978          4.701          0.086          0.000        330.377        331.165             13.572             30.974             40.689             19.863             12.781              9.503              8.000       1873.937          0.000          0.483         68.875         68.875          1.000          1.000
     27/07/1980          1.296          1.296          3.070          0.100          0.000        328.289        328.981             12.809             30.295             40.633             20.025             12.844              9.521              8.006       1800.204          0.000          0.511         72.667         72.667          1.000          1.000
     28/07/1980          1.061          1.640          3.854          0.119          0.000        326.271        327.109             12.606             29.405             40.471             20.135             12.909              9.541              8.014       1734.360          0.000          0.547         77.654         77.654          1.000          1.000
     29/07/1980          1.777          2.312          5.426          0.143          0.000        323.166        324.351             13.076             28.244             40.147             20.167             12.908              9.563              8.023       1679.219          0.000          0.601         85.141         85.141          1.000          1.000
     30/07/1980          0.994          1.496          3.551          0.170          0.000        320.816        322.002             13.304             27.713             39.705             20.139             12.894              9.584              8.034       1631.064          0.000          0.640         90.583         90.583          1.000          1.000
     31/07/1980          0.565          0.565          1.348          0.197          5.000        324.792        325.053             12.378             27.878             39.459             20.130             12.877              9.603              8.044       1546.571          0.000          0.656         92.756         92.756          1.000          1.000
