APSIM output file, version = 5.4
Title = Pasture PI SAMPLE Simulation
           Date           rain          rtdep         rlv(1)         rlv(2)         rlv(3)         rlv(4)         rlv(5)         rlv(6)         rlv(7)          rwu()       sw_dep()             es          no3()          nh4()          fom()            rwu      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7)         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)            fom      cover_tot  residue_cover
             ()           (mm)           (mm)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)            (?)           (mm)           (mm)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)      (m^2/m^2)      (m^2/m^2)
     15/11/1988          0.000        100.000     149736.469          0.000          0.000          0.000          0.000          0.000          0.000              ?        620.696          0.193         98.146          1.031              ?              ?         29.391         41.278         91.060        107.839        113.583        117.410        120.135         19.006         18.021         23.975         13.102          7.375          9.029          7.638          0.345          0.147          0.283          0.194          0.043          0.008          0.011              ?          0.223          0.167
     16/11/1988         17.000        100.000     147113.734          0.000          0.000          0.000          0.000          0.000          0.000              ?        634.823          2.873         98.467          1.015              ?              ?         43.461         41.388         91.320        107.758        113.504        117.333        120.060         19.140         18.101         24.061         13.121          7.385          9.024          7.635          0.333          0.144          0.285          0.192          0.043          0.008          0.010              ?          0.221          0.168
     17/11/1988          0.000        100.000     145297.891          0.000          0.000          0.000          0.000          0.000          0.000              ?        632.574          1.973         98.757          0.980              ?              ?         41.202         41.453         91.574        107.678        113.425        117.257        119.985         19.267         18.160         24.145         13.139          7.394          9.019          7.632          0.307          0.141          0.283          0.189          0.043          0.008          0.010              ?          0.220          0.169
     18/11/1988          0.000        100.000     141888.703          0.000          0.000          0.000          0.000          0.000          0.000              ?        631.591          0.699         99.035          0.946              ?              ?         40.227         41.503         91.822        107.599        113.348        117.181        119.911         19.391         18.211         24.228         13.156          7.404          9.015          7.629          0.278          0.138          0.282          0.186          0.043          0.008          0.010              ?          0.231          0.169
     19/11/1988          0.000        100.000     138166.562          0.000          0.000          0.000          0.000          0.000          0.000              ?        630.677          0.610         99.292          0.927              ?              ?         39.333         41.543         92.063        107.523        113.271        117.106        119.837         19.499         18.258         24.311         13.174          7.413          9.010          7.626          0.259          0.137          0.284          0.185          0.043          0.008          0.010              ?          0.240          0.170
     20/11/1988          0.000        100.000     134170.344          0.000          0.000          0.000          0.000          0.000          0.000              ?        629.919          0.548         99.522          0.910              ?              ?         38.603         41.577         92.298        107.448        113.195        117.032        119.765         19.586         18.301         24.392         13.191          7.423          9.006          7.624          0.248          0.135          0.283          0.182          0.044          0.008          0.010              ?          0.247          0.171
     21/11/1988          0.000        100.000     130468.773          0.000          0.000          0.000          0.000          0.000          0.000              ?        629.183          0.502         99.741          0.919              ?              ?         37.903         41.608         92.526        107.375        113.121        116.959        119.692         19.662         18.342         24.473         13.209          7.433          9.002          7.621          0.249          0.138          0.289          0.183          0.043          0.008          0.010              ?          0.255          0.171
     22/11/1988          2.200        100.000     126388.547          0.000          0.000          0.000          0.000          0.000          0.000              ?        628.523          2.666         99.955          0.945              ?              ?         37.282         41.636         92.748        107.304        113.047        116.886        119.621         19.728         18.383         24.555         13.228          7.446          8.998          7.618          0.255          0.143          0.300          0.187          0.043          0.008          0.010              ?          0.261          0.172
     23/11/1988          0.000        100.000     124758.500          0.000          0.000          0.000          0.000          0.000          0.000              ?        627.905          0.436        100.166          0.976              ?              ?         36.708         41.663         92.963        107.234        112.973        116.814        119.550         19.786         18.425         24.639         13.249          7.459          8.994          7.615          0.263          0.149          0.312          0.192          0.042          0.008          0.010              ?          0.260          0.173
     24/11/1988          0.000        100.000     123224.305          0.000          0.000          0.000          0.000          0.000          0.000              ?        627.349          0.412        100.372          1.004              ?              ?         36.199         41.689         93.172        107.166        112.901        116.743        119.479         19.837         18.467         24.725         13.270          7.472          8.990          7.612          0.270          0.154          0.324          0.196          0.042          0.008          0.010              ?          0.258          0.174
     25/11/1988          0.000        100.000     121441.453          0.000          0.000          0.000          0.000          0.000          0.000              ?        626.857          0.391        100.578          1.035              ?              ?         35.755         41.716         93.374        107.100        112.830        116.672        119.410         19.880         18.512         24.812         13.293          7.486          8.986          7.609          0.276          0.160          0.338          0.201          0.042          0.008          0.010              ?          0.256          0.174
     26/11/1988          0.000        100.000     119746.664          0.000          0.000          0.000          0.000          0.000          0.000              ?        626.412          0.373        100.781          1.063              ?              ?         35.360         41.744         93.570        107.036        112.759        116.602        119.340         19.917         18.557         24.901         13.318          7.499          8.982          7.607          0.281          0.166          0.350          0.206          0.041          0.009          0.010              ?          0.254          0.175
     27/11/1988          1.800        100.000     117974.734          0.000          0.000          0.000          0.000          0.000          0.000              ?        626.010          2.158        100.983          1.085              ?              ?         35.010         41.773         93.760        106.974        112.690        116.532        119.272         19.949         18.604         24.991         13.343          7.513          8.979          7.604          0.284          0.170          0.361          0.210          0.041          0.009          0.010              ?          0.252          0.176
     28/11/1988          0.000        100.000     116070.500          0.000          0.000          0.000          0.000          0.000          0.000              ?        625.640          0.344        101.181          1.095              ?              ?         34.692         41.804         93.943        106.913        112.621        116.464        119.204         19.975         18.652         25.081         13.369          7.526          8.975          7.602          0.285          0.172          0.367          0.211          0.041          0.009          0.010              ?          0.250          0.176
     29/11/1988          0.000        100.000     114500.141          0.000          0.000          0.000          0.000          0.000          0.000              ?        625.298          0.332        101.376          1.099              ?              ?         34.404         41.835         94.121        106.854        112.553        116.396        119.136         20.000         18.700         25.171         13.396          7.539          8.972          7.599          0.285          0.172          0.371          0.212          0.041          0.009          0.010              ?          0.248          0.176
     30/11/1988          0.000        100.000     112727.664          0.000          0.000          0.000          0.000          0.000          0.000              ?        624.978          0.321        101.573          1.105              ?              ?         34.141         41.866         94.292        106.796        112.486        116.328        119.069         20.025         18.747         25.261         13.423          7.551          8.968          7.596          0.285          0.173          0.375          0.212          0.041          0.009          0.010              ?          0.247          0.177
